[LogInfo] Page generation time: 0.21619486808777 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22841215133667 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21697402000427 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21984004974365 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21774888038635 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22010684013367 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21493983268738 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22478604316711 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22431302070618 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22529101371765 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21454381942749 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21422600746155 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21944284439087 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22046518325806 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.27557492256165 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21311593055725 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21663904190063 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2204749584198 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22810196876526 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23995304107666 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21365785598755 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22488903999329 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21678018569946 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22583103179932 seconds | Page:localhost/astracore/index.php | INFO
