[ Logger_Oscar - 2025-09-18 07:24:48 | Category: INFO | URL: http://localhost/astracore/dashboard/?tab=modules-list | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.17126297950745 seconds
[ Logger_Oscar - 2025-09-18 07:24:48 | Category: INFO | URL: http://localhost/astracore/dashboard/?tab=devices-add | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.16936302185059 seconds
[ Logger_Oscar - 2025-09-18 07:24:49 | Category: INFO | URL: http://localhost/astracore/dashboard/?tab=settings | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.17139887809753 seconds
[ Logger_Oscar - 2025-09-18 07:24:50 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00078701972961426 seconds
[ Logger_Oscar - 2025-09-18 07:24:53 | Category: INFO | URL: http://localhost/astracore/login | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0024330615997314 seconds
[ Logger_Oscar - 2025-09-18 07:24:56 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00078415870666504 seconds
[ Logger_Oscar - 2025-09-18 07:25:05 | Category: SUCCESS | URL: http://localhost/astracore/signup | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] New user created with ID:  (admin)
[ Logger_Oscar - 2025-09-18 07:25:05 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.38052797317505 seconds
[ Logger_Oscar - 2025-09-18 07:25:05 | Category: INFO | URL: http://localhost/astracore/dashboard/?tab=devices-list | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.26980304718018 seconds
[ Logger_Oscar - 2025-09-18 07:25:07 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00090694427490234 seconds
[ Logger_Oscar - 2025-09-18 07:25:09 | Category: INFO | URL: http://localhost/astracore/login | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0012619495391846 seconds
[ Logger_Oscar - 2025-09-18 07:25:13 | Category: INFO | URL: http://localhost/astracore/login | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.42208814620972 seconds
